iteration,state,state_str,cost,is_valid,size,accepted,proposed_state,proposed_state_str,proposed_cost,best_state,best_state_str,best_cost,best_size,best_is_valid,method,seed,initialization,initial_state,initial_state_str,graph_name,run_id
0,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,-2,True,2,True,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,-2,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,-2,2,True,classical_random,2026,random,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,graph_8,0
1,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,-2,True,2,False,"(1, 0, 0, 1, 0, 1, 0, 0)",10010100,5,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,-2,2,True,classical_random,2026,random,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,graph_8,0
2,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,-2,True,2,False,"(1, 0, 1, 1, 0, 0, 0, 0)",10110000,13,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,-2,2,True,classical_random,2026,random,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,graph_8,0
3,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,-2,True,2,False,"(1, 0, 0, 1, 0, 1, 0, 0)",10010100,5,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,-2,2,True,classical_random,2026,random,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,graph_8,0
4,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,-2,True,2,False,"(1, 1, 0, 1, 0, 0, 0, 0)",11010000,13,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,-2,2,True,classical_random,2026,random,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,graph_8,0
5,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,-2,True,2,False,"(1, 1, 0, 1, 0, 0, 0, 0)",11010000,13,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,-2,2,True,classical_random,2026,random,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,graph_8,0
6,"(1, 0, 0, 1, 0, 0, 0, 1)",10010001,-3,True,3,True,"(1, 0, 0, 1, 0, 0, 0, 1)",10010001,-3,"(1, 0, 0, 1, 0, 0, 0, 1)",10010001,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,graph_8,0
7,"(1, 0, 0, 1, 0, 0, 0, 1)",10010001,-3,True,3,False,"(1, 0, 1, 1, 0, 0, 0, 1)",10110001,12,"(1, 0, 0, 1, 0, 0, 0, 1)",10010001,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,graph_8,0
8,"(1, 0, 0, 1, 0, 0, 0, 1)",10010001,-3,True,3,False,"(1, 0, 0, 1, 0, 1, 0, 1)",10010101,12,"(1, 0, 0, 1, 0, 0, 0, 1)",10010001,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,graph_8,0
9,"(1, 0, 0, 1, 0, 0, 0, 1)",10010001,-3,True,3,False,"(1, 0, 0, 1, 0, 1, 0, 1)",10010101,12,"(1, 0, 0, 1, 0, 0, 0, 1)",10010001,-3,3,True,classical_random,2026,random,"(1, 0, 0, 1, 0, 0, 0, 0)",10010000,graph_8,0
